Oil Production (stb/day),Gas Volume (scf/day),Water Production (stb/day)
1439.2253833333318,1191343.9095250017,2280.834721666666
295.2630833333333,250691.63085833332,477.23383166666656
119.46963916666667,99469.46959999998,309.97591750000004
29.7375475,23656.265583333334,144.91111666666666
56.4102925,48519.33226666667,3.5092958333333333
0.0,0.0,0.0
217.64920083333334,180100.96769999998,0.3354666666666667
61.141945,48749.414725,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
915.1766541666661,771941.1971916669,3420.2661250000033
1750.9022216666665,1469281.7247749998,5552.58556
2319.9653358333335,1930117.9680166664,5774.730538333332
1941.7334833333314,1608236.8595166658,4987.978910833332
1939.0382183333318,1603471.1683083328,4738.784835833332
1961.800679999999,1622181.6332583332,4392.302806666666
1907.4042358333338,1580369.82755,4734.083585
1918.4877399999996,1587317.4705916669,5141.512044999998
2022.0305749999995,1674591.2814500001,5101.570544999999
2257.3876983333334,1869508.0121583333,4881.095561666668
2414.78132,2021580.394508334,3854.957541666665
2380.526504166666,1994398.2796166663,4704.942014999997
2537.1569391666667,2117604.7370749996,4814.491799999998
2756.2512674999994,2284215.830374999,4469.201201666665
2752.9128499999997,2277001.5458416673,3881.8860799999998
2587.2358225000003,2129521.0669166655,4169.500523333334
1634.2143349999985,1376074.225133334,2867.366738333337
102.01279249999999,86763.70526666666,187.50856916666666
98.5375675,84606.7223,193.53124416666668
324.6101266666666,263794.62315,47.667192500000006
348.16460416666666,283796.8210083333,28.416123333333335
314.0303466666666,260852.55054166666,6.257501666666667
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
58.26322166666667,43231.48934166667,272.7632291666667
24.41673166666667,20941.836783333336,45.94845
24.41673166666667,20941.836783333336,45.94845
44.858183333333336,38082.41365833334,46.24303166666667
53.83873083333333,47443.65595833333,55.858345
47.53353,39837.364925,46.24303166666667
42.60636333333333,35308.336683333335,220.03415916666668
82.59189333333333,70449.454325,220.03415916666668
66.82810499999998,56987.764025000004,45.94845
112.70212333333335,94831.74089166668,416.8514041666667
107.53593666666666,90494.34458333332,398.3619491666667
92.93265333333335,97144.10269166666,129.47283583333333
75.31069416666666,74839.0005,340.07671250000016
4.927690833333333,4936.816783333333,3.4170425
985.6749741666665,830088.5456250001,4285.704080000005
1263.3889574999992,1075504.7268,6196.835665000001
1765.0164574999997,1499114.3401666654,4427.790462499998
1798.6773925000002,1529618.7851583322,4275.927323333332
1786.8013483333339,1522562.7828833316,3967.2571049999992
1790.1848441666673,1530336.3194333315,3970.292554166667
1803.145389166667,1540007.998758332,3718.735535833334
1658.4020058333338,1404914.089799999,4166.701473333334
1854.7653225000006,1571197.2696333325,3887.577481666666
2085.1397175000006,1762533.1242166662,3598.119544166666
2064.3659441666678,1750265.1387166667,4556.799934999999
2072.2656600000014,1758068.8626499998,4060.412005
2026.1657258333341,1725083.5719000003,3987.4763100000014
1987.8323691666674,1695962.4133000001,3703.5881675000032
2102.342343333334,1772800.0350833335,3882.229409166669
1580.1287216666658,1356334.576916667,2970.655876666669
486.39259583333336,438204.1630333333,1190.7006691666659
770.5166133333333,657505.6807250001,1912.258543333333
818.0905041666668,687583.9458749997,1181.2950224999993
190.14774833333334,117807.49895833334,258.6600008333333
88.80012333333335,72605.89896666667,40.599329166666664
65.52083333333333,52434.23464166666,2.2743591666666663
132.5559841666667,112834.66146666667,15.610731666666668
5.665193333333334,4899.672358333333,11.716173333333334
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
12.015996666666666,13327.547358333333,26.238735000000002
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1685.540735,1463988.3132750003,1716.7260308333323
904.0323466666662,786428.2818916665,3145.8344733333356
1566.9889116666668,1338585.9751916667,4453.8536016666685
1582.7584658333326,1336711.33045,4502.0570166666685
1702.8523874999987,1428043.0734000006,4448.813739166667
1764.6977641666667,1495187.8770416668,3762.0746841666673
1737.7084225,1471343.5507083328,3190.6989466666687
1687.9707716666662,1423414.8551000005,3849.930783333336
1843.4391291666668,1565484.9500916675,4293.360058333333
1805.0905716666666,1540748.0456083338,4521.302844166668
1903.0646600000002,1626259.1656750008,3962.0846283333362
1953.0014941666673,1671828.2239583337,3382.289725833335
2088.476562500001,1762831.841641667,2995.164861666667
1969.9006275000013,1674996.1224416671,2782.8689750000017
2010.0711883333345,1715864.1061666668,3021.7270075000006
